Time [s],Packet ID,MOSI,MISO
0.0006505,0,128,
0.00365125,,128,
0.00666375,,128,
0.00965925,,193,
0.02265475,,128,
0.025661,,64,
0.0286565,,0,
0.0316565,,128,
0.03467175,,128,
0.03766725,,193,
0.04066275,,128,
0.04365875,,128,
0.04665925,,128,
0.04965975,,193,
0.062663,,128,
0.06566375,,64,
0.068664,,0,
0.0716735,,128,
0.07466625,,128,
0.07768875,,193,
0.08068425,,128,
0.0836725,,128,
0.086668,,128,
0.089668,,193,
0.102673,,128,
0.1056715,,64,
0.10867125,,0,
0.11167175,,128,
0.11468175,,128,
0.11767725,,193,
0.12067725,,128,
0.1236925,,128,
0.126688,,128,
0.1296835,,193,
0.1426945,,128,
0.14568675,,64,
0.14868225,,0,
0.15167925,,128,
0.15467975,,128,
0.1576805,,193,
0.160681,,128,
0.1636825,,128,
0.1666825,,128,
0.169705,,193,
0.1826875,,128,
0.18570675,,64,
0.18870225,,0,
0.19169775,,128,
0.1946875,,128,
0.19768775,,193,
0.200689,,128,
0.20368925,,128,
0.206698,,128,
0.2096935,,193,
0.222703,,128,
0.22569525,,64,
0.22869525,,0,
0.23171775,,128,
0.23469525,,128,
0.237696,,193,
0.24070775,,128,
0.2436975,,128,
0.24669725,,128,
0.2496985,,193,
0.26270075,,128,
0.26570125,,64,
0.268702,,0,
0.271702,,128,
0.2747065,,128,
0.27770675,,193,
0.280704,,128,
0.2837175,,128,
0.286713,,128,
0.2897085,,193,
0.302718,,128,
0.30571025,,64,
0.30870925,,0,
0.3117095,,128,
0.31471,,128,
0.31772225,,193,
0.32071775,,128,
0.32371225,,128,
0.326733,,128,
0.3297285,,193,
0.3427395,,128,
0.34573175,,64,
0.34872725,,0,
0.35172275,,128,
0.35471775,,128,
0.35771825,,193,
0.360719,,128,
0.36372725,,128,
0.366723,,128,
0.369723,,193,
0.38272775,,128,
0.3857245,,64,
0.38874725,,0,
0.39174275,,128,
0.39473075,,128,
0.3977265,,193,
0.40072625,,128,
0.403727,,128,
0.4067275,,128,
0.4097385,,193,
0.42273075,,128,
0.42574,,64,
0.42873575,,0,
0.43173575,,128,
0.43475075,,128,
0.4377465,,193,
0.440742,,128,
0.4437345,,128,
0.4467355,,128,
0.44973625,,193,
0.4627385,,128,
0.46573875,,64,
0.46874,,0,
0.4717525,,128,
0.47474075,,128,
0.47774075,,193,
0.4807635,,128,
0.48375175,,128,
0.48674725,,128,
0.4897435,,193,
0.502752,,128,
0.50574625,,64,
0.5087475,,0,
0.51174725,,128,
0.51476075,,128,
0.51775625,,193,
0.520752,,128,
0.5237715,,128,
0.52676725,,128,
0.52976275,,193,
0.5427735,,128,
0.54576575,,64,
0.5487615,,0,
0.551757,,128,
0.5547555,,128,
0.557756,,193,
0.56075675,,128,
0.5637615,,128,
0.5667615,,128,
0.569759,,193,
0.582762,,128,
0.58578575,,64,
0.58878125,,0,
0.59177675,,128,
0.594765,,128,
0.597764,,193,
0.6007645,,128,
0.603765,,128,
0.606777,,128,
0.60977275,,193,
0.62276875,,128,
0.62577425,,64,
0.62876975,,0,
0.63177075,,128,
0.634785,,128,
0.6377805,,193,
0.64077625,,128,
0.6437725,,128,
0.64677325,,128,
0.649774,,193,
0.66277625,,128,
0.665777,,64,
0.66877725,,0,
0.67178675,,128,
0.6747795,,128,
0.677802,,193,
0.6807975,,128,
0.68378575,,128,
0.6867815,,128,
0.68978125,,193,
0.70278625,,128,
0.70578475,,64,
0.70878525,,0,
0.71178575,,128,
0.714795,,128,
0.7177905,,193,
0.7207905,,128,
0.72380575,,128,
0.72680125,,128,
0.729797,,193,
0.7427915,,128,
0.74581075,,64,
0.74880625,,0,
0.75180175,,128,
0.7547935,,128,
0.75779425,,193,
0.7607945,,128,
0.7638065,,128,
0.766802,,128,
0.7697975,,193,
0.782807,,128,
0.78580375,,64,
0.78880025,,0,
0.79182175,,128,
0.79481,,128,
0.7978055,,193,
0.8008025,,128,
0.80380275,,128,
0.80680325,,128,
0.80980425,,193,
0.82280675,,128,
0.82581925,,64,
0.82881475,,0,
0.83181025,,128,
0.83483,,128,
0.8378255,,193,
0.840821,,128,
0.84381075,,128,
0.84681125,,128,
0.84981175,,193,
0.862814,,128,
0.86581475,,64,
0.86881525,,0,
0.87181575,,128,
0.87482,,128,
0.87782,,193,
0.88081725,,128,
0.88383075,,128,
0.88682625,,128,
0.88982175,,193,
0.90283125,,128,
0.9058235,,64,
0.90882325,,0,
0.91182325,,128,
0.91482375,,128,
0.9178355,,193,
