Time [s],Packet ID,MOSI,MISO
0.01028525,0,128,
0.013282,,91,
0.0163045,,27,
0.0193,,155,
0.02228825,,155,
0.02528375,,191,
0.02828375,,128,
0.0312845,,128,
0.03428475,,128,
0.037296,,191,
0.0502885,,128,
0.05330675,,91,
0.0563025,,27,
0.059298,,155,
0.06229025,,155,
0.0652915,,191,
0.06829125,,128,
0.0713025,,128,
0.07429825,,128,
0.07729375,,191,
0.090311,,128,
0.09330325,,91,
0.09629875,,27,
0.099297,,155,
0.10229775,,155,
0.10529825,,191,
0.10831075,,128,
0.1113035,,128,
0.1143,,128,
0.1173215,,191,
0.13030725,,128,
0.13330375,,91,
0.136305,,27,
0.139305,,155,
0.142316,,155,
0.1453115,,191,
0.148307,,128,
0.15132825,,128,
0.15432375,,128,
0.1573195,,191,
0.17031125,,128,
0.17331125,,91,
0.17631175,,27,
0.17931225,,155,
0.18231375,,155,
0.18531375,,191,
0.1883365,,128,
0.1913245,,128,
0.19432025,,128,
0.19731575,,191,
0.21031825,,128,
0.21333075,,91,
0.2163265,,27,
0.219322,,155,
0.2223415,,155,
0.22533725,,191,
0.22833275,,128,
0.2313225,,128,
0.23432275,,128,
0.23732325,,191,
0.25033825,,128,
0.2533305,,91,
0.2563305,,27,
0.25932775,,155,
0.26234125,,155,
0.265337,,191,
0.2683325,,128,
0.2713305,,128,
0.2743305,,128,
0.277332,,191,
0.2903345,,128,
0.29335825,,91,
0.296354,,27,
0.2993495,,155,
0.30233775,,155,
0.30533675,,191,
0.308337,,128,
0.31133775,,128,
0.31434975,,128,
0.31734525,,191,
0.3303625,,128,
0.33335475,,91,
0.33635025,,27,
0.33934575,,155,
0.34234375,,155,
0.345344,,191,
0.34834525,,128,
0.351352,,128,
0.3543475,,128,
0.3573475,,191,
0.37036025,,128,
0.3733525,,91,
0.3763495,,27,
0.37935025,,155,
0.38235075,,155,
0.38535125,,191,
0.38836,,128,
0.39135275,,128,
0.39437525,,128,
0.397371,,191,
0.4103565,,128,
0.413357,,91,
0.41635775,,27,
0.41935825,,155,
0.42236525,,155,
0.42536075,,191,
0.428361,,128,
0.431376,,128,
0.43437175,,128,
0.43736725,,191,
0.45036425,,128,
0.453365,,91,
0.4563655,,27,
0.459375,,155,
0.4623675,,155,
0.46539025,,191,
0.46838575,,128,
0.471374,,128,
0.4743695,,128,
0.47736925,,191,
0.4903715,,128,
0.49338025,,91,
0.49637575,,27,
0.49937575,,155,
0.502391,,155,
0.5053865,,191,
0.508382,,128,
0.51137525,,128,
0.51437625,,128,
0.51737625,,191,
0.53038425,,128,
0.533381,,91,
0.5364035,,27,
0.539399,,155,
0.54238725,,155,
0.54538275,,191,
0.54838275,,128,
0.551383,,128,
0.55438375,,128,
0.5573965,,191,
0.5703865,,128,
0.57340575,,91,
0.5764015,,27,
0.579397,,155,
0.5823885,,155,
0.5853895,,191,
0.58839025,,128,
0.5914015,,128,
0.59439725,,128,
0.59739275,,191,
0.61041,,128,
0.61340225,,91,
0.61639775,,27,
0.619396,,155,
0.62239625,,155,
0.62539725,,191,
0.62840975,,128,
0.631398,,128,
0.634399,,128,
0.6374205,,191,
0.65040775,,128,
0.65340275,,91,
0.656403,,27,
0.65940375,,155,
0.6624165,,155,
0.665412,,191,
0.6684075,,128,
0.67142725,,128,
0.67442275,,128,
0.6774185,,191,
0.690409,,128,
0.69340975,,91,
0.69641025,,27,
0.69941125,,155,
0.70241275,,155,
0.70541275,,191,
0.7084355,,128,
0.7114235,,128,
0.71441925,,128,
0.71741475,,191,
0.73041725,,128,
0.73342975,,91,
0.7364255,,27,
0.739421,,155,
0.74241975,,155,
0.74541975,,191,
0.7484335,,128,
0.75142325,,128,
0.7544215,,128,
0.757422,,191,
0.77043725,,128,
0.7734295,,91,
0.7764295,,27,
0.779426,,155,
0.78244025,,155,
0.78543575,,191,
0.7884315,,128,
0.7914285,,128,
0.794429,,128,
0.79742975,,191,
