Time [s],Packet ID,MOSI,MISO
0.00220175,0,194,
0.00519725,,128,
0.008193,,253,
0.02118325,,128,
0.024184,,91,
0.02718425,,27,
0.03018475,,155,
0.03319175,,155,
0.03618725,,191,
0.0391875,,128,
0.0422025,,194,
0.04519825,,128,
0.04819375,,253,
0.061191,,128,
0.06419125,,91,
0.067192,,27,
0.0701925,,155,
0.073199,,155,
0.0761945,,191,
0.07919475,,128,
0.08220975,,194,
0.0852055,,128,
0.088201,,253,
0.10119875,,128,
0.1041995,,91,
0.1071995,,27,
0.11021175,,155,
0.11320425,,155,
0.11620175,,191,
0.1192225,,128,
0.12221075,,194,
0.12520625,,128,
0.12820375,,253,
0.141206,,128,
0.14420675,,91,
0.147217,,27,
0.1502125,,155,
0.15323225,,155,
0.15622775,,191,
0.15922325,,128,
0.162213,,194,
0.1652105,,128,
0.16821175,,253,
0.1812145,,128,
0.18422375,,91,
0.18721925,,27,
0.19021925,,155,
0.1932345,,155,
0.19623,,191,
0.19922575,,128,
0.202218,,194,
0.20521825,,128,
0.20821875,,253,
0.22123225,,128,
0.2242245,,91,
0.22722475,,27,
0.23024725,,155,
0.23323525,,155,
0.236231,,191,
0.2392265,,128,
0.242225,,194,
0.2452255,,128,
0.2482265,,253,
0.26123475,,128,
0.2642315,,91,
0.267254,,27,
0.2702495,,155,
0.27323775,,155,
0.27623325,,191,
0.27923225,,128,
0.28223325,,194,
0.28523325,,128,
0.28824525,,253,
0.30124,,128,
0.30425925,,91,
0.30725475,,27,
0.31025025,,155,
0.3132385,,155,
0.316239,,191,
0.31924,,128,
0.32224025,,194,
0.3252505,,128,
0.328246,,253,
0.34126775,,128,
0.34426,,91,
0.34725575,,27,
0.35025125,,155,
0.353246,,155,
0.35624675,,191,
0.35924725,,128,
0.36225725,,194,
0.36525275,,128,
0.368253,,253,
0.38127025,,128,
0.3842625,,91,
0.387258,,27,
0.3902535,,155,
0.39325425,,155,
0.3962545,,191,
0.39925525,,128,
0.40225825,,194,
0.40525825,,128,
0.40828075,,253,
0.421271,,128,
0.42426325,,91,
0.42726025,,27,
0.430261,,155,
0.4332615,,155,
0.436262,,191,
0.43927075,,128,
0.4422635,,194,
0.445286,,128,
0.4482815,,253,
0.46127325,,128,
0.4642675,,91,
0.467268,,27,
0.4702685,,155,
0.473282,,155,
0.4762775,,191,
0.479273,,128,
0.48229275,,194,
0.4852885,,128,
0.488284,,253,
0.50127425,,128,
0.50427525,,91,
0.50727525,,27,
0.51027575,,155,
0.51328275,,155,
0.5162785,,191,
0.5192785,,128,
0.52229375,,194,
0.52528925,,128,
0.52828475,,253,
0.54128175,,128,
0.5442825,,91,
0.547283,,27,
0.5502955,,155,
0.5532845,,155,
0.55628475,,191,
0.55928525,,128,
0.56230075,,194,
0.5652965,,128,
0.568292,,253,
0.58128975,,128,
0.5842905,,91,
0.58729075,,27,
0.59030275,,155,
0.59329525,,155,
0.59629275,,191,
0.5993135,,128,
0.60230175,,194,
0.60529725,,128,
0.60829475,,253,
0.621297,,128,
0.62429775,,91,
0.627308,,27,
0.6303035,,155,
0.63332325,,155,
0.63631875,,191,
0.63931425,,128,
0.6423025,,194,
0.6453015,,128,
0.6483025,,253,
0.6613055,,128,
0.66431475,,91,
0.66731025,,27,
0.67031025,,155,
0.6733255,,155,
0.676321,,191,
0.67931675,,128,
0.682309,,194,
0.68530925,,128,
0.68830975,,253,
0.70132325,,128,
0.7043155,,91,
0.70731575,,27,
0.71033825,,155,
0.71332625,,155,
0.716322,,191,
0.7193175,,128,
0.722316,,194,
0.72531675,,128,
0.7283175,,253,
