Time [s],Packet ID,MOSI,MISO
0.000293,0,186,
0.0132915,,128,
0.0162925,,91,
0.01929275,,27,
0.02230375,,155,
0.0252965,,155,
0.028319,,191,
0.0313145,,133,
0.03430275,,128,
0.03729825,,128,
0.04029675,,186,
0.053299,,128,
0.0562995,,91,
0.059309,,27,
0.0623045,,155,
0.06532425,,155,
0.06831975,,191,
0.0713155,,133,
0.074305,,128,
0.0773035,,128,
0.0803045,,186,
0.0933065,,128,
0.09631575,,91,
0.0993115,,27,
0.1023115,,155,
0.1053265,,155,
0.10832225,,191,
0.11131775,,133,
0.114311,,128,
0.1173115,,128,
0.120312,,186,
0.1333245,,128,
0.13631675,,91,
0.13931675,,27,
0.14233925,,155,
0.1453275,,155,
0.148323,,191,
0.1513185,,133,
0.15431875,,128,
0.15731925,,128,
0.1603195,,186,
0.17333175,,128,
0.176324,,91,
0.179324,,27,
0.1823465,,155,
0.18533475,,155,
0.18833025,,191,
0.19132575,,133,
0.194326,,128,
0.1973265,,128,
0.20032675,,186,
0.2133325,,128,
0.21633025,,91,
0.21935175,,27,
0.22234725,,155,
0.2253355,,155,
0.2283325,,191,
0.231333,,133,
0.23433325,,128,
0.23733425,,128,
0.240343,,186,
0.25333775,,128,
0.256357,,91,
0.25935275,,27,
0.26234825,,155,
0.265339,,155,
0.26834025,,191,
0.27134075,,133,
0.274341,,128,
0.27734975,,128,
0.2803455,,186,
0.29336725,,128,
0.2963595,,91,
0.299355,,27,
0.3023505,,155,
0.305347,,155,
0.3083475,,191,
0.31134825,,133,
0.31435525,,128,
0.31735075,,128,
0.32035075,,186,
0.333368,,128,
0.33636025,,91,
0.33935575,,27,
0.342354,,155,
0.3453545,,155,
0.34835525,,191,
0.35136775,,133,
0.354356,,128,
0.357357,,128,
0.3603785,,186,
