Time [s],Packet ID,MOSI,MISO
0.001947,0,128,
0.0049395,,248,
0.00794075,,128,
0.01094075,,199,
0.0239435,,128,
0.0269505,,91,
0.029946,,27,
0.032946,,155,
0.03596125,,155,
0.03895675,,191,
0.0419525,,128,
0.04494725,,248,
0.047948,,128,
0.0509485,,199,
0.06395125,,128,
0.06695125,,91,
0.06996275,,27,
0.07295825,,155,
0.075978,,155,
0.0789735,,191,
0.081969,,128,
0.08495725,,248,
0.0879555,,128,
0.090956,,199,
0.1039585,,128,
0.10695925,,91,
0.109968,,27,
0.1129635,,155,
0.11598325,,155,
0.118979,,191,
0.1219745,,128,
0.12496275,,248,
0.12796325,,128,
0.13096375,,199,
0.143966,,128,
0.146978,,91,
0.1499735,,27,
0.152969,,155,
0.15598875,,155,
0.15898425,,191,
0.16197975,,128,
0.16497025,,248,
0.16797125,,128,
0.170971,,199,
0.18397375,,128,
0.18698475,,91,
0.18998025,,27,
0.19297575,,155,
0.1959955,,155,
0.198991,,191,
0.2019865,,128,
0.2049775,,248,
0.207978,,128,
0.2109785,,199,
0.22398125,,128,
0.22699,,91,
0.2299855,,27,
0.2329855,,155,
0.23600075,,155,
0.2389965,,191,
0.241992,,128,
0.24498525,,248,
0.2479855,,128,
0.25098625,,199,
0.2639885,,128,
0.266997,,91,
0.2699925,,27,
0.2729925,,155,
0.27600775,,155,
0.27900325,,191,
0.28199875,,128,
0.28499325,,248,
0.28799375,,128,
0.29099425,,199,
0.30399675,,128,
0.30700225,,91,
0.30999775,,27,
0.31299775,,155,
0.316013,,155,
0.3190085,,191,
0.32200425,,128,
0.3250005,,248,
