Time [s],Packet ID,MOSI,MISO
0.00201075,0,128,
0.00500625,,143,
0.018028,,128,
0.02102025,,91,
0.02401575,,27,
0.0270115,,155,
0.030007,,155,
0.03300775,,191,
0.036008,,128,
0.039016,,176,
0.0420115,,128,
0.04501175,,143,
0.0580305,,128,
0.06102275,,91,
0.06401825,,27,
0.06701375,,155,
0.0700145,,155,
0.07301475,,191,
0.0760155,,128,
0.0790185,,176,
0.0820185,,128,
0.085041,,143,
0.09803125,,128,
0.1010235,,91,
0.104021,,27,
0.10702125,,155,
0.110023,,155,
0.1130355,,191,
0.116031,,128,
0.11902375,,176,
0.12204625,,128,
0.12504175,,143,
0.138032,,128,
0.14102775,,91,
0.14402875,,27,
0.14702925,,155,
0.15004075,,155,
0.15303625,,191,
0.15603175,,128,
0.159053,,176,
0.1620485,,128,
0.16504425,,143,
0.17803525,,128,
0.1810355,,91,
0.184036,,27,
0.1870365,,155,
0.190043,,155,
0.1930385,,191,
0.19603875,,128,
0.199054,,176,
0.2020495,,128,
0.205045,,143,
0.21804275,,128,
0.2210435,,91,
0.22404375,,27,
0.22705575,,155,
0.2300485,,155,
0.23304575,,191,
0.2360665,,128,
0.23905475,,176,
0.24205025,,128,
0.24504775,,143,
0.25805025,,128,
0.261051,,91,
0.2640625,,27,
0.267058,,155,
0.2700525,,155,
0.27307325,,191,
0.27606875,,128,
0.279057,,176,
0.2820545,,128,
0.28505575,,143,
0.2980585,,128,
0.30106775,,91,
0.30406325,,27,
0.30706325,,155,
0.3100785,,155,
0.313074,,191,
0.31606975,,128,
0.31906225,,176,
0.32206225,,128,
0.325063,,143,
0.33807625,,128,
0.3410685,,91,
0.34406875,,27,
0.34709125,,155,
0.3500795,,155,
0.353075,,191,
0.3560705,,128,
0.35907,,176,
0.36206975,,128,
0.36507025,,143,
0.37807875,,128,
0.3810755,,91,
0.384098,,27,
0.3870935,,155,
0.39008175,,155,
0.39307725,,191,
0.39607625,,128,
0.39907725,,176,
0.40207725,,128,
0.40508925,,143,
0.418084,,128,
0.42110325,,91,
0.42409875,,27,
0.42709425,,155,
0.4300825,,155,
0.43308325,,191,
0.436084,,128,
0.43908425,,176,
0.4420945,,128,
0.44509025,,143,
0.45808925,,128,
0.461113,,91,
0.4641085,,27,
0.467104,,155,
0.47009225,,155,
