Time [s],Packet ID,MOSI,MISO
0.006193,0,128,
0.00918675,,91,
0.01218775,,27,
0.01518825,,155,
0.0181885,,155,
0.02119725,,191,
0.024193,,128,
0.0272125,,164,
0.03020825,,128,
0.03320375,,155,
0.046194,,128,
0.0491945,,91,
0.052195,,27,
0.05519575,,155,
0.0582025,,155,
0.06119825,,191,
0.06419825,,128,
0.0672135,,164,
0.070209,,128,
0.0732045,,155,
0.08620375,,128,
0.08920225,,91,
0.0922025,,27,
0.095203,,155,
0.09821225,,155,
0.10120775,,191,
0.104208,,128,
0.107223,,164,
0.11021875,,128,
0.11321425,,155,
0.1262095,,128,
0.12921,,91,
0.13221075,,27,
0.135211,,155,
0.13821325,,155,
0.14121325,,191,
0.14423575,,128,
0.147224,,164,
0.1502195,,128,
0.153215,,155,
0.1662165,,128,
0.16921775,,91,
0.17223025,,27,
0.17522575,,155,
0.1782195,,155,
0.181241,,191,
0.1842365,,128,
0.18722625,,164,
0.19022175,,128,
0.19322175,,155,
0.2062245,,128,
0.209237,,91,
0.2122325,,27,
0.215228,,155,
0.21824775,,155,
0.22124325,,191,
0.224239,,128,
0.22722875,,164,
0.230229,,128,
0.2332295,,155,
0.2462315,,128,
0.24923775,,91,
0.2522335,,27,
0.2552335,,155,
0.25824875,,155,
0.26124425,,191,
0.26423975,,128,
0.26723625,,164,
0.27023625,,128,
0.2732375,,155,
0.286248,,128,
0.28924025,,91,
0.29224125,,27,
0.29526275,,155,
0.298251,,155,
0.3012465,,191,
0.30424275,,128,
0.30724375,,164,
0.31024425,,128,
0.3132445,,155,
0.32624875,,128,
0.3292725,,91,
0.332268,,27,
0.3352635,,155,
0.33825175,,155,
0.34125,,191,
0.3442505,,128,
0.34725125,,164,
0.35026375,,128,
0.3532595,,155,
0.366255,,128,
0.36927325,,91,
0.372269,,27,
0.3752645,,155,
0.378257,,155,
0.381258,,191,
0.38425825,,128,
0.3872705,,164,
0.39026625,,128,
0.39326175,,155,
0.4062835,,128,
