Time [s],Packet ID,MOSI,MISO
0.01014025,0,128,
0.01314175,,91,
0.01614175,,27,
0.019143,,155,
0.02214825,,155,
0.02514375,,191,
0.02814375,,134,
0.031159,,128,
0.0341545,,128,
0.03715025,,185,
0.05014775,,128,
0.05314875,,91,
0.05614925,,27,
0.05916075,,155,
0.0621535,,155,
0.06515075,,191,
0.06817175,,134,
0.07115975,,128,
0.0741555,,128,
0.077153,,185,
0.09015525,,128,
0.093156,,91,
0.09616775,,27,
0.09916325,,155,
0.1021575,,155,
0.1051785,,191,
0.108174,,134,
0.11116225,,128,
0.1141605,,128,
0.11716075,,185,
0.13016375,,128,
0.133173,,91,
0.1361685,,27,
0.1391685,,155,
0.14218375,,155,
0.14517925,,191,
0.14817475,,134,
0.15116725,,128,
0.1541685,,128,
0.157168,,185,
0.1701815,,128,
0.17317375,,91,
0.17617375,,27,
0.17919625,,155,
0.1821735,,155,
0.18517375,,191,
0.1881805,,134,
0.1911745,,128,
0.19417575,,128,
0.19717575,,185,
0.21018875,,128,
0.213181,,91,
0.216181,,27,
0.2192035,,155,
0.22219175,,155,
0.22518725,,191,
0.22818275,,134,
0.23118225,,128,
0.23418275,,128,
0.23718325,,185,
0.2501895,,128,
0.25318625,,91,
0.256209,,27,
0.2592045,,155,
0.2621925,,155,
0.265189,,191,
0.26819,,134,
0.27119025,,128,
0.2741905,,128,
0.27720025,,185,
0.2901965,,128,
0.29321575,,91,
0.29621125,,27,
0.29920675,,155,
0.30219575,,155,
0.30519675,,191,
0.30819725,,134,
0.31119725,,128,
0.314207,,128,
0.3172025,,185,
0.33022425,,128,
0.3332165,,91,
0.336212,,27,
0.3392075,,155,
0.34220325,,155,
0.345204,,191,
0.34820425,,134,
0.35121225,,128,
0.35420775,,128,
0.35720775,,185,
