Time [s],Packet ID,MOSI,MISO
0.005319,0,128,
0.00831125,,79,
0.01130675,,27,
0.014305,,143,
0.01730525,,155,
0.02030625,,191,
0.02331875,,134,
0.0263085,,128,
0.0293085,,128,
0.032331,,185,
0.04532125,,128,
0.0483135,,79,
0.05131175,,27,
0.05431275,,143,
0.057313,,155,
0.0603255,,191,
0.063321,,134,
0.06631475,,128,
0.06933625,,128,
0.072332,,185,
0.085322,,128,
0.08831925,,79,
0.09131975,,27,
0.09432025,,143,
0.09733075,,155,
0.10032625,,191,
0.103322,,134,
0.1063415,,128,
0.10933725,,128,
0.11233275,,185,
0.125326,,128,
0.1283265,,79,
0.13132725,,27,
0.134328,,143,
0.137333,,155,
0.14032875,,191,
0.14332975,,134,
0.146344,,128,
0.1493395,,128,
0.152335,,185,
0.1653335,,128,
0.1683345,,79,
0.17133475,,27,
0.17434575,,143,
0.1773385,,155,
0.180361,,191,
0.1833565,,134,
0.18634475,,128,
0.18934025,,128,
0.19233875,,185,
0.205341,,128,
0.20834225,,79,
0.211351,,27,
0.2143465,,143,
0.21736625,,155,
0.22036175,,191,
0.2233575,,134,
0.226347,,128,
0.22934625,,128,
0.2323465,,185,
0.2453485,,128,
0.24835775,,79,
0.2513535,,27,
0.2543535,,143,
0.2573685,,155,
0.26036425,,191,
0.26335975,,134,
0.266353,,128,
0.26935325,,128,
0.272354,,185,
0.2853665,,128,
0.28835875,,79,
0.29135875,,27,
0.29438125,,143,
0.2973695,,155,
0.300365,,191,
0.3033605,,134,
0.3063605,,128,
0.30936125,,128,
0.3123615,,185,
0.3253735,,128,
