Time [s],Packet ID,MOSI,MISO
0.00154925,0,128,
0.0045475,,196,
0.01754925,,128,
0.02055025,,91,
0.02356,,27,
0.0265555,,230,
0.029575,,155,
0.03257075,,191,
0.03556625,,134,
0.0385545,,128,
0.04155425,,128,
0.0445555,,196,
0.057557,,128,
0.06056525,,91,
0.06356075,,27,
0.06656075,,230,
0.069576,,155,
0.0725715,,191,
0.075567,,134,
0.0785615,,128,
0.081562,,128,
0.0845625,,196,
0.09757775,,128,
0.10057,,91,
0.10357,,27,
0.1065665,,230,
0.10958075,,155,
0.11257625,,191,
0.11557175,,134,
0.11856875,,128,
0.1215695,,128,
0.12457,,196,
0.1375785,,128,
0.14057525,,91,
0.14359775,,27,
0.14659325,,230,
0.1495815,,155,
0.152577,,191,
0.155576,,134,
0.15857625,,128,
0.161577,,128,
0.164589,,196,
0.17758375,,128,
0.180603,,91,
0.18359875,,27,
0.18659425,,230,
0.18958225,,155,
0.192583,,191,
0.19558325,,134,
0.19858375,,128,
0.20159575,,128,
0.2045915,,196,
0.217588,,128,
0.2206055,,91,
0.223601,,27,
0.2265965,,230,
0.22958975,,155,
0.2325905,,191,
0.23559075,,134,
0.238601,,128,
0.24159675,,128,
0.24459675,,196,
0.257614,,128,
0.26060625,,91,
0.26360175,,27,
0.26659725,,230,
0.26959725,,155,
0.272598,,191,
0.27559825,,134,
0.278602,,128,
0.281602,,128,
0.2846245,,196,
0.29761625,,128,
0.3006085,,91,
0.30360425,,27,
0.30660475,,230,
0.30960475,,155,
0.31260575,,191,
0.315616,,134,
0.31860875,,128,
0.32163125,,128,
0.324627,,196,
0.33761725,,128,
0.340611,,91,
0.34361125,,27,
0.34661225,,230,
0.3496125,,155,
0.35262125,,191,
0.355617,,134,
0.35863675,,128,
0.36163225,,128,
0.36462775,,196,
0.377618,,128,
0.3806185,,91,
0.38361925,,27,
0.38661975,,230,
0.3896265,,155,
0.39262225,,191,
0.39562225,,134,
0.398639,,128,
0.4016345,,128,
0.40463,,196,
0.41762525,,128,
0.420626,,91,
0.4236265,,27,
0.4266275,,230,
0.429629,,155,
0.432629,,191,
0.4356515,,134,
0.43863975,,128,
0.44163525,,128,
0.444631,,196,
0.457633,,128,
0.4606335,,91,
0.463646,,27,
0.4666415,,230,
0.46963525,,155,
0.47265675,,191,
0.4756525,,134,
0.47864075,,128,
0.48163775,,128,
0.484638,,196,
0.49764025,,128,
0.500653,,91,
0.5036485,,27,
0.506644,,230,
0.50966375,,155,
0.51265925,,191,
0.51565475,,134,
0.5186445,,128,
0.52164525,,128,
0.524646,,196,
0.53764825,,128,
0.54065375,,91,
0.54364925,,27,
0.54665025,,230,
0.5496645,,155,
