Time [s],Packet ID,MOSI,MISO
0.0086795,0,128,
0.01168025,,91,
0.014681,,27,
0.0176935,,155,
0.0206825,,155,
0.02368225,,191,
0.02668325,,128,
0.029699,,194,
0.0326945,,128,
0.03569025,,253,
0.048687,,128,
0.051688,,91,
0.05468825,,27,
0.05770075,,155,
0.0606935,,155,
0.06369,,191,
0.06671175,,128,
0.06969975,,194,
0.0726955,,128,
0.0756925,,253,
0.0886945,,128,
0.09169575,,91,
0.09470625,,27,
0.09770175,,155,
0.10072125,,155,
0.103717,,191,
0.1067125,,128,
0.10970075,,194,
0.11269975,,128,
0.1157,,253,
0.1287025,,128,
0.131713,,91,
0.1347085,,27,
0.137704,,155,
0.14072375,,155,
0.14371925,,191,
0.14671475,,128,
0.1497065,,194,
0.15270675,,128,
0.1557075,,253,
0.1687215,,128,
0.17171375,,91,
0.17471375,,27,
0.17773625,,155,
0.1807245,,155,
0.18372,,191,
0.18671575,,128,
0.18971425,,194,
0.19271425,,128,
0.195715,,253,
0.20872225,,128,
0.211719,,91,
0.21474175,,27,
0.21773725,,155,
0.22072525,,155,
0.223721,,191,
0.22672075,,128,
0.2297215,,194,
0.232722,,128,
0.2357345,,253,
0.24872925,,128,
0.2517485,,91,
0.254744,,27,
0.2577395,,155,
0.26072775,,155,
0.26372825,,191,
0.26672875,,128,
0.2697295,,194,
0.27273975,,128,
0.27573525,,253,
0.288757,,128,
0.29174925,,91,
0.29474475,,27,
0.29774025,,155,
0.30073475,,155,
0.303736,,191,
0.3067365,,128,
0.309745,,194,
0.3127405,,128,
0.31574075,,253,
