Time [s],Packet ID,MOSI,MISO
0.0016535,0,128,
0.00464925,,128,
0.00764475,,143,
0.020636,,128,
0.0236345,,91,
0.02663425,,27,
0.02963475,,155,
0.03264475,,155,
0.03564025,,191,
0.03864025,,176,
0.0416555,,128,
0.044651,,128,
0.04764675,,143,
0.060641,,128,
0.06364175,,91,
0.066642,,27,
0.0696425,,155,
0.0726455,,155,
0.0756455,,191,
0.07866825,,176,
0.08165625,,128,
0.084652,,128,
0.0876475,,143,
0.100648,,128,
0.10364875,,91,
0.1066495,,27,
0.10965825,,155,
0.11265075,,155,
0.1156735,,191,
0.118669,,176,
0.12165875,,128,
0.12465425,,128,
0.12765325,,143,
0.14065625,,128,
0.1436695,,91,
0.146665,,27,
0.1496605,,155,
0.15268025,,155,
0.15567575,,191,
0.15867125,,176,
0.16166025,,128,
0.16466125,,128,
0.167661,,143,
0.18066325,,128,
0.18367025,,91,
0.18666575,,27,
0.18966575,,155,
0.192681,,155,
0.1956765,,191,
0.19867225,,176,
0.20166775,,128,
0.20466775,,128,
0.20766825,,143,
0.22068025,,128,
0.2236725,,91,
0.22667275,,27,
0.22969525,,155,
0.23268325,,155,
0.235679,,191,
0.2386745,,176,
0.24167525,,128,
0.24467575,,128,
0.24767625,,143,
0.26068125,,128,
0.26367975,,91,
0.2667005,,27,
0.269696,,155,
0.27268425,,155,
0.27568125,,191,
0.278682,,176,
0.2816825,,128,
0.284683,,128,
