Time [s],Packet ID,MOSI,MISO
0.0015035,0,91,
0.004499,,27,
0.0074945,,155,
0.01049025,,155,
0.01349075,,191,
0.01649125,,248,
0.019499,,128,
0.02249475,,128,
0.02549475,,199,
0.0385165,,128,
0.04150875,,91,
0.04450425,,27,
0.04749975,,155,
0.05049775,,155,
0.0534985,,191,
0.05649925,,248,
0.059506,,128,
0.0625015,,128,
0.0655015,,199,
0.07852325,,128,
0.0815155,,91,
0.08451125,,27,
0.08750675,,155,
0.09050525,,155,
0.09350575,,191,
0.0965065,,248,
0.09951125,,128,
0.10251125,,128,
0.10550875,,199,
0.11852875,,128,
0.121521,,91,
0.1245165,,27,
0.12751275,,155,
0.13051275,,155,
0.133514,,191,
0.1365145,,248,
0.13951675,,128,
0.14251675,,128,
0.14553925,,199,
0.15854025,,128,
0.1615325,,91,
0.16452825,,27,
0.16752375,,155,
0.17052075,,155,
0.17352125,,191,
0.176522,,248,
0.17952825,,128,
0.182524,,128,
0.185524,,199,
0.19854575,,128,
0.201538,,91,
0.2045335,,27,
0.207529,,155,
0.21052825,,155,
0.213529,,191,
0.2165295,,248,
0.21953375,,128,
0.22253375,,128,
0.225531,,199,
0.238551,,128,
0.24154325,,91,
0.24453875,,27,
0.247535,,155,
0.250536,,155,
0.2535365,,191,
0.25653675,,248,
0.2595405,,128,
0.2625405,,128,
0.26556325,,199,
0.27855775,,128,
0.28155,,91,
0.28454575,,27,
0.28754275,,155,
0.29054325,,155,
0.29354375,,191,
0.2965445,,248,
0.29954575,,128,
0.302546,,128,
0.3055685,,199,
0.31856325,,128,
0.3215555,,91,
0.324551,,27,
0.32755075,,155,
0.33055075,,155,
0.3335515,,191,
0.336563,,248,
0.33955575,,128,
0.342553,,128,
0.34557375,,199,
0.35857,,128,
0.36156225,,91,
0.36455775,,27,
0.36755825,,155,
0.3705585,,155,
0.3735595,,191,
0.37656975,,248,
0.3795625,,128,
0.382585,,128,
0.38558075,,199,
0.3985755,,128,
0.40156775,,91,
0.40456525,,27,
0.4075655,,155,
0.410567,,155,
0.4135795,,191,
0.41657525,,248,
0.41956775,,128,
0.4225905,,128,
0.425586,,199,
0.43858075,,128,
0.441573,,91,
0.44457275,,27,
0.447574,,155,
0.45057375,,155,
0.453585,,191,
0.4565805,,248,
0.45957575,,128,
0.46259725,,128,
0.46559275,,199,
0.4785875,,128,
0.48157975,,91,
0.48458025,,27,
0.48758075,,155,
0.4905815,,155,
0.49359175,,191,
0.49658725,,248,
0.499607,,128,
0.5026025,,128,
0.50559825,,199,
0.518593,,128,
0.52158725,,91,
0.52458825,,27,
0.527588,,155,
0.5306015,,155,
0.533597,,191,
0.53659275,,248,
0.53961225,,128,
0.542608,,128,
0.5456035,,199,
0.55859975,,128,
0.56159475,,91,
0.56459575,,27,
0.56759575,,155,
0.57060825,,155,
0.573604,,191,
0.5765995,,248,
0.57961925,,128,
0.58261475,,128,
0.58561025,,199,
0.598605,,128,
0.60160225,,91,
0.60460325,,27,
0.60760325,,155,
0.61061375,,155,
0.61360925,,191,
0.61660925,,248,
0.6196245,,128,
0.62262,,128,
0.62561575,,199,
0.6386105,,128,
0.64161025,,91,
0.64461075,,27,
0.647611,,155,
0.650612,,155,
0.65361225,,191,
0.656615,,248,
0.65963625,,128,
0.66263175,,128,
0.6656275,,199,
0.678622,,128,
0.68161775,,91,
0.68461825,,27,
0.68761875,,155,
0.69063075,,155,
0.69362625,,191,
