Time [s],Packet ID,MOSI,MISO
0.0011555,0,191,
0.014158,,128,
0.0171685,,91,
0.020164,,27,
0.0231595,,155,
0.02617925,,155,
0.029175,,191,
0.0321705,,128,
0.03516225,,128,
0.0381625,,128,
0.04116325,,191,
0.054176,,128,
0.05716825,,91,
0.06016825,,27,
0.06319075,,155,
0.066179,,155,
0.0691745,,191,
0.07217025,,128,
0.0751695,,128,
0.07817,,128,
0.0811705,,191,
0.09417675,,128,
0.097196,,91,
0.10019175,,27,
0.10318725,,155,
0.10617525,,155,
0.109176,,191,
0.112177,,128,
0.115177,,128,
0.1181875,,128,
0.121183,,191,
0.13420025,,128,
0.1371925,,91,
0.140188,,27,
0.1431835,,155,
0.1461835,,155,
0.14918425,,191,
0.1521845,,128,
0.15518975,,128,
0.15818525,,128,
0.16118625,,191,
0.174198,,128,
0.17719025,,91,
0.18019,,27,
0.18319,,155,
0.18619075,,155,
0.18920225,,191,
0.19219775,,128,
0.19519225,,128,
0.198213,,128,
0.20120875,,191,
0.21419575,,128,
0.217197,,91,
0.220197,,27,
0.22319775,,155,
0.226203,,155,
0.229203,,191,
0.23219975,,128,
0.23521375,,128,
0.2382095,,128,
0.241205,,191,
0.254204,,128,
0.2572045,,91,
0.26021725,,27,
0.26321275,,155,
0.26620625,,155,
0.269228,,191,
0.2722235,,128,
0.27521175,,128,
0.278208,,128,
0.281209,,191,
0.29421175,,128,
0.297218,,91,
0.3002135,,27,
0.3032135,,155,
0.30622875,,155,
0.30922425,,191,
0.31221975,,128,
0.3152155,,128,
0.31821625,,128,
0.3212165,,191,
0.334222,,128,
0.33721975,,91,
0.34024125,,27,
0.34323675,,155,
0.346225,,155,
0.349222,,191,
0.3522225,,128,
0.35522275,,128,
0.35822375,,128,
0.361234,,191,
0.37425125,,128,
0.3772435,,91,
0.38023925,,27,
0.38323475,,155,
0.386229,,155,
0.3892295,,191,
0.39223,,128,
0.39523925,,128,
0.39823475,,128,
0.401235,,191,
0.41424775,,128,
0.41724,,91,
0.4202355,,27,
0.423236,,155,
0.426236,,155,
0.429237,,191,
0.4322475,,128,
0.43524025,,128,
0.43826275,,128,
0.44125825,,191,
0.4542455,,128,
0.457242,,91,
0.46024325,,27,
0.46324325,,155,
0.46625425,,155,
0.46924975,,191,
0.47224525,,128,
0.475265,,128,
0.4782605,,128,
0.481256,,191,
0.49424925,,128,
0.49725025,,91,
0.50025025,,27,
0.50326225,,155,
0.506255,,155,
0.50925225,,191,
0.512273,,128,
0.51526125,,128,
0.518257,,128,
0.5212545,,191,
0.5342565,,128,
0.5372675,,91,
0.540263,,27,
0.5432585,,155,
0.5462595,,155,
0.54926025,,191,
