
[19:08:27.19] Started
[19:08:29.75] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:08:32.70] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:08:32.73] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(87)P@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:32.75] OK:(09)2(00)(00)(00)(02)(00)(00)(00)(BE)
[19:08:33.8] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(87)P@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:33.28] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(87)(80)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:33.47] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(88)(10)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:33.66] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(88)@@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:33.81] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(88)p@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:34.1] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(89)(00)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:34.20] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(89)0@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:34.41] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(89)`@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:34.67] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(89)(90)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:34.89] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(90)(20)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:35.9] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(90)P@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:35.28] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(90)(80)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:35.39] OK:(15)0(01)(02)(01)(00)(11)(10)(00)(FF)(91)(10)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:35.42] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(00)MAXIMAFM
[19:08:35.81] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(02)MAXIMAFM
