
[19:10:05.34] Started
[19:10:06.75] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:10:06.80] OK:(15)0(01)(00)(00)(11)(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:10:06.83] OK:(09)2R""(02)(02)(00)(00)(BE)
[19:10:07.53] OK:(15)0(01)(00)(00)(11)(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:10:07.56] OK:(05):(01)(19)(10)(04)
[19:10:08.23] OK:(15)0(01)(00)(00)(11)(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:10:13.26] OK:(15)0(01)(00)(00)(10)(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:10:18.23] OK:(15)0(01)(00)(00)(10)(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:10:18.25] OK:(15)0(01)(00)(00)(10)(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:10:18.26] OK:(09)2(00)(00)(00)(02)(02)(00)(00)(BE)
[19:10:18.34] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:10:19.48] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
