
[19:02:40.34] Started
[19:02:47.98] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:02:53.1] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:02:56.26] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:02:56.28] OK:(15)0(01)(00)(00)"(11)(01)(02)(F1)(06)(90)@(02)(20)ROCK(20)FM
[19:02:56.33] OK:(09)2(00)(00)(00)(02)(00)(00)(00)(BE)
[19:02:56.58] OK:(15)0(01)(00)(00)"(11)(01)(02)(F1)(06)(90)@(02)(20)ROCK(20)FM
[19:02:56.59] OK:(15)0(01)(00)(00)"(11)(01)(03)(FF)(91)0@(02)CUARENTA
[19:02:56.83] OK:(15)0(01)(00)(00)"(11)(01)(03)(FF)(91)0@(02)CUARENTA
[19:02:56.98] OK:(15)0(01)(00)(00)"(11)(01)(03)(FF)(91)0@(03)CUARENTA
[19:02:57.1] OK:(15)0(01)(00)(00)"(11)(01)(03)(FF)(91)0@(03)CUARENTA
[19:02:57.3] OK:(09)2(00)(00)(00)(02)(02)(00)(00)(BE)
[19:02:57.12] OK:(15)0(01)(00)(00)"(11)(01)(03)(FF)(91)0@(03)CUARENTA
[19:02:57.16] OK:(15)0(01)(00)(00)"(11)(01)(04)(F1)(05)0@(02)ONDA_REG
[19:02:57.17] OK:(09)2(00)(00)(00)(02)(00)(00)(00)(BE)
[19:02:57.45] OK:(15)0(01)(00)(00)"(11)(01)(04)(F1)(05)0@(02)ONDA_REG
[19:02:57.48] OK:(15)0(01)(00)(00)"(11)(01)(04)(F1)(05)0@(02)ONDA_REG
[19:02:57.50] OK:(09)2(00)(00)(00)(02)(02)(00)(00)(BE)
[19:02:57.55] OK:(15)0(01)(00)(00)"(11)(01)(04)(F1)(05)0@(02)ONDA(20)REG
[19:02:57.56] OK:(15)0(01)(00)(00)"(11)(01)(04)(F1)(05)0@(03)ONDA(20)REG
[19:02:57.59] OK:(15)0(01)(00)(00)"(11)(01)(05)(F1)(06)(90)@(02)(20)ROCK(20)FM
[19:02:57.64] OK:(09)2(00)(00)(00)(02)(00)(00)(00)(BE)
[19:02:57.81] OK:(15)0(01)(00)(00)"(11)(01)(05)(F1)(06)(90)@(02)(20)ROCK(20)FM
[19:02:57.83] OK:(15)0(01)(00)(00)"(11)(01)(05)(F1)(06)(90)@(02)(20)ROCK(20)FM
[19:02:57.86] OK:(09)2(00)(00)(00)(02)(02)(00)(00)(BE)
[19:02:57.94] OK:(15)0(01)(00)(00)"(11)(01)(05)(F1)(06)(90)@(02)(20)ROCK(20)FM
[19:02:58.12] OK:(15)0(01)(00)(00)"(11)(01)(05)(F1)(06)(90)@(03)(20)ROCK(20)FM
[19:02:58.17] OK:(15)0(01)(00)(00)"(11)(01)(06)(FF)(87)P@(02)REVIVEFM
[19:02:58.20] OK:(09)2(00)(00)(00)(02)(00)(00)(00)(BE)
