
[19:10:38.75] Started
[19:10:40.26] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:10:40.30] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:10:40.31] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(02)(11)(00)(00)(00)
[19:10:40.36] OK:(09)2(00)(00)(00)(02)(00)(00)(00)(BE)
[19:10:42.70] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:42.73] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:42.75] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:43.66] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:43.69] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:43.70] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)+1(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:43.83] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:43.86] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:43.86] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)+2(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:43.94] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:43.95] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:43.97] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)+3(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:44.6] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:44.8] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:44.9] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)+4(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:44.17] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:44.19] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:44.22] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)+5(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:44.26] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:44.28] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
