
[19:04:55.05] Started
[19:05:01.09] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:05:06.12] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:05:08.03] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:05:08.06] OK:(05):(01)(19)(05)(04)
[19:05:13.06] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:05:15.84] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:05:15.89] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:05:20.86] OK:(09)2(00)(00)(00)(02)(02)(00)(00)6
[19:05:25.86] OK:(09)2(00)(00)(00)(02)(02)(00)(00)6
[19:05:27.23] OK:(09)2(00)(00)(00)(02)(02)(00)(00)6
[19:05:27.26] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:05:32.23] OK:(09)2(00)(00)(00)(02)(02)(00)(00)(BE)
[19:05:37.26] OK:(09)2(00)(00)(00)(02)(02)(00)(00)(BE)
