
[19:04:12.16] Started
[19:04:15.19] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:04:20.20] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:04:20.42] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:04:20.45] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:04:25.42] OK:(09)2(00)(00)(00)(00)(02)(00)(00)(BE)
[19:04:28.05] OK:(09)2(00)(00)(00)(00)(02)(00)(00)(BE)
[19:04:30.11] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:04:35.11] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:04:39.55] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:04:39.58] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:04:41.06] OK:(09)2(00)(00)(00)(02)(02)(00)(00)(BE)
