
[19:08:50.16] Started
[19:08:54.9] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:08:56.89] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:08:56.92] OK:(15)0(01)(00)(00)(00)(11)(06)(00)(FF)(91)e@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:57.31] OK:(09)2(00)(00)(00)(02)(00)(00)(00)(BE)
[19:08:57.64] OK:(15)0(01)(00)(00)(00)(11)(06)(00)(FF)(91)(80)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:57.67] OK:(15)0(01)(00)(00)(00)(11)(06)(00)(FF)(91)(80)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:59.22] OK:(15)0(01)(00)(00)(00)(11)(06)(00)(FF)(91)(80)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:08:59.88] OK:(15)0(01)(00)(00)(00)(11)(01)(00)(FF)(91)(80)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:09:00.23] OK:(15)0(01)(00)(00)(00)(11)(06)(00)(FF)(91)(85)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:09:00.69] OK:(15)0(01)(00)(00)(00)(11)(06)(00)(FF)(92)(00)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:09:00.72] OK:(15)0(01)(00)(00)(00)(11)(06)(00)(FF)(92)(10)@(02)(00)(00)(00)(00)(00)(00)(00)(00)
[19:09:01.0] OK:(15)0(01)(00)(00)"(11)(06)(00)(FF)(92)(10)@(03)RNE(20)5-MU
[19:09:01.3] OK:(15)0(01)(00)(00)"(11)(06)(00)(FF)(92)(10)@(03)RNE(20)5-MU
[19:09:01.3] OK:(09)2(00)(00)(00)(02)(02)(00)(00)(BE)
