
[19:06:01.78] Started
[19:06:03.12] OK:(10)0(03)(10)(03)(00)(11)(05)(FF)(01)(FF)s(FF)(F2)7(00)(00)
[19:06:04.19] OK:(10)0(03)(10)(03)(00)(11)(05)(FF)(01)(FF)s(FF)(F2)8(00)(00)
[19:06:05.19] OK:(10)0(03)(10)(03)(00)(11)(05)(FF)(01)(FF)s(FF)(F2)9(00)(00)
[19:06:05.38] OK:(10)0(03)(10)(03)(00)(11)(05)(FF)(01)(FF)s(FF)(F2)@(00)(00)
[19:06:06.22] OK:(10)0(03)(10)(03)C(11)(05)(FF)(01)(FF)s(FF)(F2)@(00)(00)
[19:06:06.39] OK:(10)0(03)(10)(03)C(11)(05)(FF)(01)(FF)s(FF)(F2)A(00)(00)
[19:06:06.42] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)A(00)(00)
[19:06:06.44] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)A(00)(00)
[19:06:07.12] OK:(17)4ROOT(20)(20)(20)(20)(20)(20)(20)(20)(20)(20)(20)(20)(00)(00)(00)(00)(00)(00)
[19:06:07.92] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)B(00)(00)
[19:06:07.95] OK:(05):(01)(19)(06)(04)
[19:06:08.12] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)B(00)(00)
[19:06:09.16] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)C(00)(00)
[19:06:09.89] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)D(00)(00)
[19:06:10.19] OK:(10)0(03)(10)(03)D(11)(05)(FF)(01)(FF)s(FF)(F2)D(00)(00)
[19:06:10.89] OK:(10)0(03)(10)(03)D(11)(05)(FF)(01)(FF)s(FF)(F2)E(00)(00)
[19:06:10.92] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)E(00)(00)
[19:06:10.94] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)E(00)(00)
[19:06:11.23] OK:(17)4Hole(20)-(20)Violet(20)(20)(20)(00)(00)(00)(00)(00)(00)
[19:06:12.9] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)F(00)(00)
[19:06:13.14] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)G(00)(00)
[19:06:14.17] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)H(00)(00)
[19:06:14.41] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)I(00)(00)
[19:06:15.17] OK:(10)0(03)(10)(03)F(11)(05)(FF)(01)(FF)s(FF)(F2)I(00)(00)
[19:06:15.42] OK:(10)0(03)(10)(03)F(11)(05)(FF)(01)(FF)s(FF)(F2)P(00)(00)
[19:06:15.47] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)P(00)(00)
[19:06:15.48] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)P(00)(00)
[19:06:16.20] OK:(17)4Violet(20)(20)(20)(20)(20)(20)(20)(20)(20)(20)(00)(00)(00)(00)(00)(00)
[19:06:17.11] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)Q(00)(00)
[19:06:18.12] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)R(00)(00)
[19:06:19.16] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)S(00)(00)
[19:06:20.6] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)T(00)(00)
[19:06:21.25] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)U(00)(00)
[19:06:22.11] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)V(00)(00)
[19:06:23.14] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)W(00)(00)
[19:06:24.19] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)X(00)(00)
[19:06:25.19] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F2)Y(00)(00)
[19:06:26.8] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F3)(00)(00)(00)
[19:06:27.12] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F3)(01)(00)(00)
[19:06:28.14] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F3)(02)(00)(00)
[19:06:29.17] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F3)(03)(00)(00)
[19:06:30.8] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F3)(04)(00)(00)
[19:06:31.8] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F3)(05)(00)(00)
[19:06:32.12] OK:(10)0(03)(10)(03)(01)(11)(05)(FF)(01)(FF)s(FF)(F3)(06)(00)(00)
