
[19:07:48.91] Started
[19:07:49.91] OK:(10)0(03)(10)(03)(01)(10)(05)(FF)(01)(FF)s(FF)(F0)Q(00)(00)
[19:07:49.94] OK:(10)0(03)(10)(01)(01)(8D)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:49.95] OK:(10)0(03)(10)(01)(01)(8D)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:49.97] OK:(09)2(00)(00)(00)(02)(00)(00)(00)(BE)
[19:07:50.0] OK:(10)0(03)(10)(01)(01)(89)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.1] OK:(10)0(03)(10)(01)(01)(89)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.3] OK:(10)0(03)(10)(01)(01)(85)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.6] OK:(10)0(03)(10)(01)(01)(85)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.8] OK:(10)0(03)(10)(01)(01)(82)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.9] OK:(10)0(03)(10)(01)(01)(82)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.11] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.16] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.17] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.19] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.20] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.23] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.23] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.25] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.25] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.28] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.28] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.48] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
[19:07:50.50] OK:(10)0(03)(10)(01)(01)(80)(05)(FF)(FF)(FF)(FF)(FF)(FF)(FF)(00)(00)
